Date,Time,RSNR(dB),Dst(ft),RxBt(V),GPS,GSpd(kmh),Hdg(@),Alt(m),Sats,Rud,Ele,Thr,Ail,S1,S2,SA,SB,SC,SD,SE,SF,LSW,TxBat(V)
2021-10-12,08:54:27.290,0,0,0.0,,0.0,0.00,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:05:00.620,0,0,0.0,,0.0,0.00,0,0,33,1,-1024,-4,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:07:24.850,0,0,0.0,,0.0,0.00,0,0,26,-2,-537,-12,1024,0,-1,-1,-1,-1,-1,1,0x0000000000000018,4.0
2021-10-12,20:07:27.610,0,0,0.0,,0.0,0.00,0,0,27,-1,-538,-12,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:07:30.820,0,0,0.0,,0.0,0.00,0,0,28,-1,-536,-11,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:07:32.320,0,0,0.0,,0.0,0.00,0,0,27,0,-536,-12,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:22:43.170,0,0,0.0,,0.0,0.00,0,0,10,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:22:46.440,0,0,0.0,,0.0,0.00,0,0,9,-3,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:22:47.940,0,0,0.0,,0.0,0.00,0,0,9,-4,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:22:49.690,0,0,0.0,,0.0,0.00,0,0,10,-4,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:22:51.190,0,0,0.0,,0.0,0.00,0,0,10,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:22:54.150,0,0,0.0,,0.0,0.00,0,0,10,-4,-1024,0,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:22:55.640,0,0,0.0,,0.0,0.00,0,0,10,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:22:57.140,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:22:58.640,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:00.150,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:01.650,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:03.150,0,0,0.0,,0.0,0.00,0,0,13,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:04.650,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:06.150,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:07.650,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:09.150,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:10.660,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:12.160,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:13.660,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:15.160,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:16.660,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:18.160,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:19.660,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:21.160,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:22.660,0,0,0.0,,0.0,0.00,0,0,12,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:24.160,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:25.660,0,0,0.0,,0.0,0.00,0,0,10,-4,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:27.160,0,0,0.0,,0.0,0.00,0,0,10,-5,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:28.660,0,0,0.0,,0.0,0.00,0,0,11,-4,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:30.170,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:31.670,0,0,0.0,,0.0,0.00,0,0,12,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:33.170,0,0,0.0,,0.0,0.00,0,0,12,-4,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:34.670,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:36.170,0,0,0.0,,0.0,0.00,0,0,11,-3,-1024,1,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:37.670,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,2,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
2021-10-12,20:23:39.170,0,0,0.0,,0.0,0.00,0,0,11,-5,-1024,3,0,0,-1,-1,-1,-1,-1,-1,0x0000000000000008,4.0
